timestamp,distance
10617, 31.42 cm
10721, 31.42 cm
10825, 31.43 cm
10929, 31.42 cm
11033, 31.42 cm
11137, 31.42 cm
11241, 31.42 cm
11345, 31.43 cm
11449, 31.42 cm
11553, 31.42 cm
11657, 31.42 cm
11761, 31.42 cm
11865, 31.42 cm
11969, 31.42 cm
12073, 31.42 cm
12177, 31.42 cm
12281, 31.43 cm
12385, 31.42 cm
12489, 31.42 cm
12593, 31.42 cm
12697, 31.42 cm
12801, 31.42 cm
12905, 31.42 cm
13009, 31.42 cm
13113, 31.43 cm
13217, 31.42 cm
13321, 31.43 cm
13425, 31.42 cm
13529, 31.42 cm
13633, 31.42 cm
13737, 31.42 cm
13841, 31.42 cm
13945, 31.42 cm
14049, 31.42 cm
14153, 31.42 cm
14257, 31.42 cm
14361, 31.42 cm
14465, 31.42 cm
14569, 31.42 cm
14673, 31.42 cm
14777, 31.42 cm
14881, 31.43 cm
14985, 31.42 cm
15089, 31.42 cm
15193, 31.43 cm
15297, 31.42 cm
15401, 31.42 cm
15505, 31.43 cm
15609, 31.42 cm
15713, 31.42 cm
15817, 31.43 cm
15921, 31.43 cm
16025, 31.43 cm
16129, 31.43 cm
16233, 31.42 cm
16337, 31.42 cm
16441, 31.42 cm
16545, 31.43 cm
16649, 31.42 cm
16753, 31.42 cm
16857, 31.42 cm
16961, 31.43 cm
17065, 31.42 cm
17169, 31.42 cm
17273, 31.42 cm
17377, 31.42 cm
17481, 31.43 cm
17585, 31.43 cm
17689, 31.42 cm
17793, 31.42 cm
17897, 31.42 cm
18001, 31.42 cm
18106, 31.42 cm
18210, 31.42 cm
18314, 31.42 cm
18418, 31.42 cm
18522, 31.42 cm
18626, 31.42 cm
18730, 31.43 cm
18834, 31.42 cm
18938, 31.42 cm
19042, 31.42 cm
19146, 31.43 cm
19250, 31.43 cm
19354, 31.42 cm
19458, 31.42 cm
19562, 31.42 cm
19666, 31.42 cm
19770, 31.42 cm
19874, 31.42 cm
19978, 31.42 cm
20082, 31.42 cm
20186, 31.42 cm
20290, 31.42 cm
20394, 31.42 cm
20498, 31.42 cm
20602, 31.42 cm
20706, 31.42 cm
20810, 31.43 cm
20914, 31.42 cm
21018, 31.43 cm
21122, 31.42 cm
21226, 31.42 cm
21330, 31.42 cm
21434, 31.42 cm
21538, 31.43 cm
21642, 31.42 cm
21746, 31.42 cm
21850, 31.43 cm
21954, 31.42 cm
22058, 31.42 cm
22162, 31.42 cm
22266, 31.42 cm
22370, 31.42 cm
22474, 31.42 cm
22578, 31.42 cm
22682, 31.42 cm
22786, 31.42 cm
22890, 31.43 cm
22994, 31.42 cm
23098, 31.42 cm
23202, 31.42 cm
23306, 31.42 cm
23410, 31.43 cm
23514, 31.42 cm
23618, 31.43 cm
23722, 31.42 cm
23826, 31.43 cm
23930, 31.42 cm
24034, 31.42 cm
24138, 31.43 cm
24242, 31.42 cm
24346, 31.42 cm
24450, 31.42 cm
24554, 31.42 cm
24658, 31.42 cm
24762, 31.42 cm
24866, 31.42 cm
24970, 31.43 cm
25074, 31.43 cm
25178, 31.42 cm
25282, 31.42 cm
25386, 31.42 cm
25490, 31.43 cm
25594, 31.42 cm
25698, 31.42 cm
25802, 31.42 cm
25906, 31.43 cm
26010, 31.43 cm
26114, 31.42 cm
26218, 31.42 cm
26322, 31.42 cm
26426, 31.42 cm
26530, 31.42 cm
26634, 31.42 cm
26738, 31.42 cm
26842, 31.42 cm
26946, 31.42 cm
27050, 31.42 cm
27154, 31.42 cm
27258, 31.42 cm
27362, 31.43 cm
27466, 31.42 cm
27570, 31.42 cm
27674, 31.43 cm
27778, 31.42 cm
27882, 31.42 cm
27986, 31.42 cm
28090, 31.43 cm
28194, 31.42 cm
28298, 31.43 cm
28402, 31.43 cm
28506, 31.43 cm
28610, 31.42 cm
28714, 31.43 cm
28818, 31.42 cm
28922, 31.42 cm
29026, 31.42 cm
29130, 31.42 cm
29234, 31.42 cm
29338, 31.43 cm
29442, 31.42 cm
29546, 31.43 cm
29650, 31.43 cm
29754, 31.42 cm
29858, 31.42 cm
29962, 31.42 cm
30066, 31.42 cm
30170, 31.42 cm
30274, 31.42 cm
30378, 31.42 cm
30482, 31.42 cm
30586, 31.42 cm
30690, 31.42 cm
30794, 31.43 cm
30898, 31.43 cm
31002, 31.43 cm
31106, 31.42 cm
31210, 31.42 cm
31314, 31.42 cm
31418, 31.42 cm
31522, 31.43 cm
31626, 31.42 cm
31730, 31.42 cm
31834, 31.43 cm
31938, 31.43 cm
32042, 31.42 cm
32146, 31.42 cm
32250, 31.43 cm
32354, 31.42 cm
32458, 31.42 cm
32562, 31.42 cm
32666, 31.42 cm
32770, 31.43 cm
32874, 31.42 cm
32978, 31.42 cm
33082, 31.42 cm
33186, 31.43 cm
33290, 31.42 cm
33394, 31.42 cm
33498, 31.42 cm
33602, 31.42 cm
33706, 31.43 cm
33810, 31.42 cm
33914, 31.42 cm
34018, 31.42 cm
34122, 31.43 cm
34226, 31.42 cm
34330, 31.42 cm
34434, 31.42 cm
34538, 31.42 cm
34642, 31.42 cm
34746, 31.42 cm
34850, 31.42 cm
34954, 31.42 cm
35058, 31.42 cm
35162, 31.43 cm
35266, 31.42 cm
35370, 31.43 cm
35474, 31.43 cm
35578, 31.43 cm
35682, 31.42 cm
35786, 31.42 cm
35890, 31.42 cm
35994, 31.42 cm
36098, 31.42 cm
36202, 31.42 cm
36306, 31.42 cm
36410, 31.42 cm
36514, 31.42 cm
36618, 31.43 cm
36722, 31.42 cm
36826, 31.42 cm
36930, 31.42 cm
37034, 31.42 cm
37138, 31.42 cm
37242, 31.43 cm
37346, 31.42 cm
37450, 31.42 cm
37554, 31.42 cm
37658, 31.42 cm
37762, 31.43 cm
37866, 31.42 cm
37970, 31.42 cm
38074, 31.43 cm
38178, 31.43 cm
38282, 31.42 cm
38386, 31.43 cm
38490, 31.42 cm
38594, 31.42 cm
38698, 31.42 cm
38802, 31.42 cm
38906, 31.42 cm
39010, 31.42 cm
39114, 31.42 cm
39218, 31.42 cm
39322, 31.42 cm
39426, 31.42 cm
39530, 31.42 cm
39634, 31.42 cm
39738, 31.42 cm
39842, 31.42 cm
39946, 31.42 cm
40050, 31.42 cm
40154, 31.43 cm
40258, 31.43 cm
40362, 31.42 cm
40466, 31.42 cm
40570, 31.42 cm
40674, 31.42 cm
40778, 31.42 cm
40882, 31.42 cm
40986, 31.42 cm
41090, 31.42 cm
41194, 31.43 cm
41298, 31.43 cm
41402, 31.43 cm
41506, 31.42 cm
41610, 31.42 cm
41714, 31.43 cm
41818, 31.43 cm
41922, 31.42 cm
42026, 31.43 cm
42130, 31.43 cm
42234, 31.42 cm
42338, 31.42 cm
42442, 31.42 cm
42546, 31.42 cm
42650, 31.43 cm
42754, 31.42 cm
42858, 31.42 cm
42962, 31.43 cm
43066, 31.42 cm
43170, 31.42 cm
43274, 31.42 cm
43378, 31.42 cm
43482, 31.42 cm
43586, 31.43 cm
43690, 31.43 cm
43794, 31.43 cm
43898, 31.43 cm
44002, 31.42 cm
44106, 31.42 cm
44210, 31.42 cm
44314, 31.42 cm
44418, 31.43 cm
44522, 31.42 cm
44626, 31.42 cm
44730, 31.42 cm
44834, 31.42 cm
44938, 31.42 cm
45042, 31.43 cm
45146, 31.42 cm
45250, 31.42 cm
45354, 31.42 cm
45458, 31.42 cm
45562, 31.43 cm
45666, 31.42 cm
45770, 31.42 cm
45874, 31.42 cm
45978, 31.42 cm
46082, 31.42 cm
46186, 31.42 cm
46290, 31.42 cm
46394, 31.42 cm
46498, 31.42 cm
46602, 31.42 cm
46706, 31.43 cm
46810, 31.42 cm
46914, 31.42 cm
47018, 31.42 cm
47122, 31.43 cm
47226, 31.42 cm
47330, 31.42 cm
47434, 31.42 cm
47538, 31.43 cm
47642, 31.42 cm
47746, 31.43 cm
47850, 31.42 cm
47954, 31.42 cm
48058, 31.42 cm
48162, 31.42 cm
48266, 31.42 cm
48370, 31.43 cm
48474, 31.43 cm
48578, 31.42 cm
48682, 31.42 cm
48786, 31.42 cm
48890, 31.43 cm
48994, 31.42 cm
49098, 31.43 cm
49202, 31.43 cm
49306, 31.42 cm
49410, 31.42 cm
49514, 31.40 cm
