timestamp,distance
47812, 27.03 cm
47916, 27.01 cm
48020, 26.45 cm
48124, 27.30 cm
48228, 27.32 cm
48332, 27.32 cm
48436, 27.90 cm
48540, 27.01 cm
48644, 27.30 cm
48748, 26.43 cm
48852, 27.32 cm
48956, 27.90 cm
49060, 27.90 cm
49164, 27.01 cm
49268, 27.59 cm
49372, 26.72 cm
49476, 27.30 cm
49580, 27.30 cm
49684, 27.30 cm
49788, 28.48 cm
49892, 26.72 cm
49996, 27.01 cm
50100, 26.43 cm
50204, 26.43 cm
50308, 26.43 cm
50412, 26.43 cm
50516, 26.43 cm
50620, 26.43 cm
50724, 26.43 cm
50828, 26.43 cm
50932, 26.43 cm
51036, 26.43 cm
51140, 26.43 cm
51244, 26.43 cm
51348, 26.43 cm
51452, 26.43 cm
51555, 26.45 cm
51659, 26.43 cm
51763, 26.43 cm
51867, 26.43 cm
51971, 26.45 cm
52075, 26.43 cm
52179, 26.45 cm
52283, 26.43 cm
52387, 26.43 cm
52491, 26.43 cm
52595, 26.43 cm
52699, 26.43 cm
52803, 26.43 cm
52907, 26.43 cm
53011, 26.43 cm
53115, 27.30 cm
53219, 27.30 cm
53323, 27.32 cm
53427, 28.19 cm
53531, 26.43 cm
53635, 26.45 cm
53739, 26.43 cm
53843, 26.43 cm
53947, 26.43 cm
54051, 26.43 cm
54155, 26.43 cm
54259, 26.45 cm
54363, 26.43 cm
54467, 26.43 cm
54571, 26.43 cm
54675, 26.42 cm
54779, 26.43 cm
54883, 26.43 cm
54987, 26.43 cm
55091, 26.43 cm
55195, 26.43 cm
55299, 26.43 cm
55403, 26.43 cm
55507, 26.43 cm
55611, 26.43 cm
55715, 26.43 cm
55819, 26.43 cm
55923, 26.43 cm
56027, 26.43 cm
56131, 26.43 cm
56235, 26.45 cm
56339, 26.43 cm
56443, 26.43 cm
56547, 26.43 cm
56651, 26.43 cm
56755, 27.32 cm
56859, 27.30 cm
56963, 27.30 cm
57067, 27.30 cm
57171, 27.30 cm
57275, 27.30 cm
57379, 27.30 cm
57483, 27.30 cm
57587, 27.30 cm
57691, 27.30 cm
57795, 27.30 cm
57899, 27.30 cm
58003, 26.43 cm
58107, 27.30 cm
58211, 27.30 cm
58315, 26.43 cm
58419, 26.43 cm
58523, 27.30 cm
58627, 27.30 cm
58731, 27.32 cm
58835, 27.30 cm
58939, 27.32 cm
59043, 27.30 cm
59147, 27.30 cm
59251, 27.32 cm
59355, 27.32 cm
59459, 27.30 cm
59563, 27.30 cm
59667, 27.30 cm
59771, 27.30 cm
59875, 27.30 cm
59979, 26.43 cm
60083, 26.43 cm
60187, 26.43 cm
60291, 26.43 cm
60395, 26.43 cm
60499, 26.43 cm
60603, 26.43 cm
60707, 26.43 cm
60811, 27.32 cm
60915, 27.32 cm
61019, 27.32 cm
61123, 27.30 cm
61227, 27.30 cm
61331, 27.30 cm
61435, 27.30 cm
61539, 27.30 cm
61643, 27.30 cm
61747, 27.30 cm
61851, 27.32 cm
61955, 27.30 cm
62059, 27.30 cm
62163, 26.45 cm
62267, 27.30 cm
62371, 27.30 cm
62475, 27.30 cm
62579, 27.30 cm
62683, 27.30 cm
62787, 27.30 cm
62891, 27.30 cm
62995, 27.32 cm
63099, 26.43 cm
63203, 26.43 cm
63307, 26.43 cm
63411, 26.43 cm
63515, 26.43 cm
63619, 26.43 cm
63723, 26.43 cm
63827, 26.43 cm
63931, 26.43 cm
64035, 26.43 cm
64139, 26.43 cm
64243, 26.43 cm
64347, 26.43 cm
64451, 26.43 cm
64555, 27.30 cm
64659, 26.43 cm
64763, 26.43 cm
64867, 26.43 cm
64971, 26.43 cm
65075, 27.30 cm
65179, 27.32 cm
65283, 27.32 cm
65387, 26.43 cm
65491, 26.43 cm
65595, 26.43 cm
65699, 27.32 cm
65803, 26.43 cm
65907, 26.43 cm
66011, 26.43 cm
66115, 26.43 cm
66219, 26.45 cm
66323, 26.43 cm
66427, 26.43 cm
66531, 26.43 cm
66635, 26.43 cm
66739, 26.43 cm
66843, 26.43 cm
66947, 26.43 cm
67051, 26.43 cm
67155, 26.43 cm
67259, 26.43 cm
67363, 26.43 cm
67467, 26.43 cm
67571, 26.45 cm
67675, 26.43 cm
67779, 26.43 cm
67883, 26.43 cm
67987, 26.43 cm
68091, 26.43 cm
68195, 26.45 cm
68299, 26.43 cm
68403, 26.43 cm
68507, 26.43 cm
68611, 26.43 cm
68715, 26.43 cm
68819, 26.43 cm
68923, 26.43 cm
69027, 26.43 cm
69131, 26.43 cm
69235, 26.43 cm
69339, 26.43 cm
69443, 26.43 cm
69547, 26.43 cm
69651, 26.43 cm
69755, 26.43 cm
69859, 26.43 cm
69963, 26.43 cm
70067, 26.43 cm
70171, 26.43 cm
70275, 26.43 cm
70379, 26.43 cm
70483, 26.43 cm
70587, 26.43 cm
70691, 27.30 cm
70795, 27.30 cm
70899, 27.30 cm
71003, 27.30 cm
71107, 26.43 cm
71211, 27.32 cm
71315, 27.30 cm
71419, 27.30 cm
71523, 27.30 cm
71627, 27.30 cm
71731, 27.30 cm
71835, 27.32 cm
71939, 27.32 cm
72043, 27.32 cm
72147, 27.32 cm
72251, 27.30 cm
72355, 27.32 cm
72459, 27.30 cm
72563, 27.30 cm
72667, 27.32 cm
72771, 27.30 cm
72875, 27.30 cm
72979, 27.30 cm
73083, 27.30 cm
73187, 27.30 cm
73291, 27.30 cm
73395, 26.43 cm
73499, 26.43 cm
73603, 27.30 cm
73707, 27.32 cm
73811, 27.30 cm
73915, 27.32 cm
74019, 27.30 cm
74123, 27.32 cm
74227, 27.32 cm
74331, 27.30 cm
74435, 27.30 cm
74539, 27.30 cm
74643, 27.30 cm
74747, 27.32 cm
74851, 27.32 cm
74955, 27.32 cm
75059, 27.30 cm
75163, 27.32 cm
75267, 27.32 cm
75371, 27.30 cm
75475, 26.43 cm
75579, 27.30 cm
75683, 27.30 cm
75787, 27.32 cm
75891, 27.32 cm
75995, 27.32 cm
76099, 27.30 cm
76203, 27.30 cm
76307, 27.32 cm
76411, 27.32 cm
76515, 27.32 cm
76619, 27.32 cm
76723, 27.32 cm
76827, 27.30 cm
76931, 27.03 cm
77035, 26.43 cm
77139, 27.90 cm
77243, 26.43 cm
77347, 27.03 cm
77451, 27.59 cm
77555, 26.74 cm
77659, 27.59 cm
77763, 26.74 cm
77867, 26.74 cm
77971, 26.74 cm
78075, 26.74 cm
78179, 26.72 cm
78284, 41.79 cm
78387, 7.17 cm
78489, 8.47 cm
78592, 5.54 cm
78694, 6.53 cm
78796, 5.86 cm
78898, 8.82 cm
79001, 8.47 cm
79104, 5.86 cm
79206, 7.82 cm
79309, 10.20 cm
79412, 16.30 cm
79516, 26.72 cm
79619, 6.53 cm
79721, 9.18 cm
79825, 26.74 cm
79929, 26.72 cm
80033, 26.74 cm
80137, 26.72 cm
80241, 26.72 cm
80345, 26.74 cm
80449, 26.43 cm
80553, 27.30 cm
80657, 27.30 cm
80761, 27.32 cm
80865, 27.30 cm
80969, 27.30 cm
81073, 27.32 cm
81177, 27.30 cm
81281, 27.30 cm
81385, 27.30 cm
81489, 27.32 cm
81593, 27.30 cm
81697, 27.32 cm
81801, 27.30 cm
81905, 27.32 cm
82009, 27.32 cm
82113, 27.32 cm
82217, 27.30 cm
82321, 27.32 cm
82425, 27.30 cm
82529, 27.30 cm
82633, 27.30 cm
82737, 27.32 cm
82841, 27.32 cm
82945, 26.43 cm
83049, 27.32 cm
83153, 27.30 cm
83257, 27.30 cm
83361, 27.32 cm
83465, 27.32 cm
83569, 27.30 cm
83673, 27.30 cm
83777, 27.30 cm
83881, 27.30 cm
83985, 27.30 cm
84089, 27.30 cm
84193, 27.30 cm
84297, 27.30 cm
84401, 27.30 cm
84505, 27.32 cm
84609, 27.30 cm
84713, 27.30 cm
84817, 27.30 cm
84921, 27.30 cm
85025, 27.30 cm
85129, 27.32 cm
85233, 27.30 cm
85337, 27.32 cm
85441, 27.30 cm
85545, 27.30 cm
85649, 27.30 cm
85753, 27.30 cm
85857, 27.32 cm
85961, 27.32 cm
86065, 27.30 cm
86169, 27.32 cm
86273, 27.30 cm
86377, 27.32 cm
86481, 27.32 cm
86585, 27.30 cm
86689, 27.30 cm
86793, 27.30 cm
86897, 27.32 cm
87001, 27.32 cm
87105, 27.32 cm
87209, 27.30 cm
87313, 27.32 cm
87417, 27.32 cm
87521, 27.32 cm
87625, 27.32 cm
87729, 27.30 cm
87833, 27.30 cm
87937, 27.30 cm
88041, 27.30 cm
88145, 27.30 cm
88249, 27.30 cm
88353, 27.30 cm
88457, 27.30 cm
88561, 27.30 cm
88665, 27.32 cm
88769, 27.30 cm
88873, 27.30 cm
88977, 27.32 cm
89081, 27.30 cm
89185, 27.30 cm
89289, 27.30 cm
89393, 27.32 cm
89497, 27.32 cm
89601, 26.43 cm
89705, 27.32 cm
89809, 26.43 cm
89913, 26.43 cm
90017, 27.32 cm
90121, 26.43 cm
90225, 27.32 cm
90329, 27.30 cm
90433, 27.30 cm
90537, 27.30 cm
90641, 27.32 cm
90745, 27.30 cm
90849, 27.32 cm
90953, 27.30 cm
91057, 27.30 cm
91161, 27.30 cm
91265, 26.43 cm
91369, 27.30 cm
91473, 27.32 cm
91577, 27.32 cm
91681, 27.30 cm
91785, 27.30 cm
91889, 27.32 cm
91993, 27.32 cm
92097, 27.30 cm
92201, 27.30 cm
92305, 28.19 cm
92409, 28.19 cm
92513, 27.30 cm
92617, 27.30 cm
92721, 27.30 cm
92825, 27.32 cm
92929, 27.30 cm
93033, 27.32 cm
93137, 27.30 cm
93241, 27.32 cm
93345, 27.32 cm
93449, 27.32 cm
93553, 28.19 cm
93657, 27.32 cm
93761, 28.19 cm
93865, 28.19 cm
93969, 27.32 cm
94073, 27.30 cm
94177, 28.19 cm
94281, 27.32 cm
94385, 28.19 cm
94489, 27.30 cm
94593, 27.30 cm
94697, 27.30 cm
94801, 27.30 cm
94905, 27.32 cm
95009, 27.32 cm
95113, 27.32 cm
95217, 27.30 cm
95321, 27.32 cm
95425, 27.32 cm
95529, 27.32 cm
95633, 27.30 cm
95737, 27.30 cm
95841, 27.30 cm
95945, 27.32 cm
96049, 27.32 cm
96153, 27.32 cm
96257, 27.32 cm
96361, 27.30 cm
96465, 27.32 cm
96569, 28.19 cm
96673, 27.32 cm
96777, 27.30 cm
96881, 27.32 cm
96985, 27.32 cm
97089, 27.32 cm
97193, 27.30 cm
97297, 27.32 cm
97401, 27.30 cm
97505, 27.30 cm
97609, 27.30 cm
97713, 27.32 cm
97817, 27.32 cm
97921, 27.30 cm
98025, 27.32 cm
98129, 27.30 cm
98233, 27.30 cm
98337, 27.30 cm
98441, 27.30 cm
98545, 27.32 cm
98649, 27.30 cm
98753, 27.32 cm
98857, 27.32 cm
98961, 27.30 cm
99065, 27.30 cm
99169, 27.32 cm
99273, 27.32 cm
99377, 27.32 cm
99481, 27.30 cm
99585, 27.32 cm
99689, 27.30 cm
99793, 27.30 cm
99897, 27.30 cm
100001, 27.30 cm
100105, 27.30 cm
100209, 27.30 cm
100313, 27.30 cm
100417, 27.32 cm
100521, 27.32 cm
100625, 27.30 cm
100729, 27.30 cm
100833, 27.32 cm
100937, 26.74 cm
101041, 27.61 cm
101145, 27.59 cm
101249, 27.59 cm
101353, 26.72 cm
101457, 27.61 cm
101561, 26.74 cm
101665, 27.59 cm
101769, 27.32 cm
101873, 27.59 cm
101977, 26.74 cm
102081, 26.74 cm
102185, 26.72 cm
102289, 26.72 cm
102393, 26.72 cm
102497, 27.59 cm
102601, 26.74 cm
102705, 27.59 cm
102809, 27.61 cm
102913, 27.59 cm
103017, 26.74 cm
103121, 27.59 cm
103225, 26.72 cm
103329, 26.74 cm
103433, 27.59 cm
103537, 27.30 cm
103641, 27.32 cm
103745, 27.30 cm
103849, 27.32 cm
103953, 27.32 cm
104057, 27.30 cm
104161, 27.32 cm
104265, 27.32 cm
104369, 26.43 cm
104473, 26.43 cm
104577, 26.43 cm
104681, 26.43 cm
104785, 26.43 cm
104889, 26.43 cm
104993, 26.43 cm
105097, 26.43 cm
105201, 26.43 cm
105305, 26.43 cm
105409, 26.43 cm
105513, 26.43 cm
105617, 26.43 cm
105721, 26.43 cm
105825, 26.43 cm
105929, 26.43 cm
106032, 26.43 cm
106136, 26.43 cm
106240, 26.43 cm
106344, 26.43 cm
106448, 26.43 cm
106552, 26.43 cm
