timestamp,distance
1012, 31.60 cm
1116, 31.60 cm
1220, 31.60 cm
1324, 31.60 cm
1428, 31.60 cm
1532, 31.60 cm
1636, 31.60 cm
1740, 31.60 cm
1844, 31.60 cm
1948, 31.59 cm
2052, 31.59 cm
2156, 31.60 cm
2260, 31.60 cm
2364, 31.60 cm
2468, 31.60 cm
2572, 31.59 cm
2676, 31.60 cm
2780, 31.60 cm
2884, 31.60 cm
2988, 31.60 cm
3092, 31.60 cm
3196, 31.60 cm
3300, 31.60 cm
3404, 31.60 cm
3508, 31.60 cm
3612, 31.60 cm
3716, 31.60 cm
3820, 31.60 cm
3924, 31.60 cm
4028, 31.60 cm
4132, 31.60 cm
4236, 31.60 cm
4340, 31.60 cm
4444, 31.60 cm
4548, 31.60 cm
4652, 31.60 cm
4756, 31.60 cm
4860, 31.60 cm
4964, 31.60 cm
5068, 31.60 cm
5172, 31.59 cm
5276, 31.60 cm
5380, 31.60 cm
5484, 31.60 cm
5588, 31.59 cm
5692, 31.60 cm
5796, 31.60 cm
5900, 31.60 cm
6004, 31.60 cm
6108, 31.60 cm
6212, 31.60 cm
6316, 31.60 cm
6420, 31.60 cm
6524, 31.60 cm
6628, 31.60 cm
6732, 31.59 cm
6836, 31.60 cm
6940, 31.60 cm
7044, 31.59 cm
7148, 31.60 cm
7252, 31.60 cm
7356, 31.60 cm
7460, 31.60 cm
7564, 31.60 cm
7668, 31.59 cm
7772, 31.60 cm
7876, 31.59 cm
7980, 31.60 cm
8084, 31.59 cm
8188, 31.59 cm
8292, 31.59 cm
8396, 31.60 cm
8500, 31.59 cm
8604, 31.60 cm
8708, 31.59 cm
8812, 31.60 cm
8916, 31.60 cm
9020, 31.59 cm
9124, 31.60 cm
9228, 31.59 cm
9332, 31.60 cm
9436, 31.59 cm
9540, 31.60 cm
9644, 31.60 cm
9748, 31.60 cm
9852, 31.59 cm
9956, 31.60 cm
10060, 31.60 cm
10164, 31.60 cm
10268, 31.60 cm
10372, 31.60 cm
10476, 31.59 cm
10580, 31.60 cm
10684, 31.60 cm
10788, 31.60 cm
10892, 31.60 cm
10996, 31.60 cm
11100, 31.60 cm
11204, 31.59 cm
11308, 31.60 cm
11412, 31.60 cm
11516, 32.38 cm
11620, 31.60 cm
11724, 32.38 cm
11828, 31.59 cm
11932, 32.37 cm
12036, 32.38 cm
12140, 32.38 cm
12244, 32.38 cm
12348, 32.38 cm
12452, 32.37 cm
12556, 32.37 cm
12660, 32.37 cm
12764, 32.37 cm
12868, 32.37 cm
12972, 32.37 cm
13076, 32.37 cm
13180, 31.59 cm
13284, 32.37 cm
13388, 31.59 cm
13492, 31.59 cm
13596, 31.59 cm
13700, 31.59 cm
13804, 31.60 cm
13908, 31.59 cm
14012, 31.59 cm
14116, 31.60 cm
14220, 31.59 cm
14324, 31.59 cm
14428, 31.59 cm
14532, 31.59 cm
14636, 31.59 cm
14740, 31.59 cm
14844, 31.57 cm
14948, 31.59 cm
15052, 31.60 cm
15156, 31.60 cm
15260, 31.59 cm
15364, 31.59 cm
15468, 31.59 cm
15572, 31.60 cm
15676, 31.59 cm
15780, 31.60 cm
15884, 31.59 cm
15988, 31.59 cm
16092, 31.60 cm
16196, 31.59 cm
16300, 31.59 cm
16404, 31.59 cm
16508, 31.59 cm
16612, 31.59 cm
16716, 31.60 cm
16820, 31.60 cm
16924, 31.59 cm
17028, 31.59 cm
17132, 31.59 cm
17236, 31.59 cm
17340, 31.59 cm
17444, 31.59 cm
17548, 31.59 cm
17652, 31.59 cm
17756, 31.59 cm
17860, 31.60 cm
17964, 31.59 cm
18068, 31.59 cm
18172, 31.59 cm
18276, 31.59 cm
18380, 31.59 cm
18484, 31.59 cm
18588, 31.60 cm
18692, 31.59 cm
18796, 31.59 cm
18900, 31.59 cm
19004, 31.59 cm
19108, 31.59 cm
19212, 31.59 cm
19316, 31.59 cm
19420, 31.59 cm
19524, 31.59 cm
19628, 31.59 cm
19732, 31.59 cm
19836, 31.59 cm
19940, 31.59 cm
20044, 31.59 cm
20148, 31.60 cm
20252, 31.59 cm
20356, 31.59 cm
20460, 31.59 cm
20564, 31.59 cm
20668, 31.59 cm
20772, 31.59 cm
20876, 31.59 cm
20980, 31.59 cm
21084, 31.59 cm
21188, 31.59 cm
21292, 31.59 cm
21396, 31.59 cm
21500, 31.59 cm
21604, 31.59 cm
21708, 31.60 cm
21812, 31.59 cm
21916, 31.59 cm
22020, 31.59 cm
22124, 31.59 cm
22228, 31.59 cm
22332, 31.60 cm
22436, 31.59 cm
22540, 31.59 cm
22644, 31.60 cm
22748, 31.60 cm
22852, 31.60 cm
22956, 31.59 cm
23060, 31.60 cm
23164, 31.60 cm
23268, 31.60 cm
23372, 31.59 cm
23476, 31.60 cm
23580, 31.60 cm
23684, 31.59 cm
23788, 31.60 cm
23892, 31.60 cm
23996, 31.59 cm
24100, 31.59 cm
24204, 31.60 cm
24308, 31.59 cm
24412, 31.59 cm
24516, 31.59 cm
24620, 31.59 cm
24724, 31.60 cm
24828, 31.59 cm
24932, 31.59 cm
25036, 31.59 cm
25140, 31.60 cm
25244, 31.60 cm
25348, 31.60 cm
25452, 31.60 cm
25556, 31.60 cm
25660, 31.60 cm
25764, 31.59 cm
25868, 31.60 cm
25972, 31.59 cm
26076, 31.60 cm
26180, 31.59 cm
26284, 31.59 cm
26388, 31.60 cm
26492, 31.60 cm
26596, 31.59 cm
26700, 31.59 cm
26804, 31.59 cm
26908, 31.59 cm
27012, 31.59 cm
27116, 31.59 cm
27220, 31.59 cm
27324, 31.59 cm
27428, 31.60 cm
27532, 31.59 cm
27636, 31.59 cm
27740, 31.59 cm
27844, 31.59 cm
27948, 31.59 cm
28052, 31.59 cm
28156, 31.60 cm
28260, 31.59 cm
28364, 31.59 cm
28468, 31.59 cm
28572, 31.59 cm
28676, 31.59 cm
28780, 31.59 cm
28884, 31.59 cm
28988, 31.59 cm
29092, 31.59 cm
29196, 31.60 cm
29300, 31.60 cm
29404, 31.59 cm
29508, 31.60 cm
29612, 31.59 cm
29716, 31.59 cm
29820, 31.59 cm
29924, 31.59 cm
30028, 31.60 cm
30132, 31.59 cm
30236, 31.59 cm
30340, 31.60 cm
30444, 31.59 cm
30548, 31.60 cm
30652, 31.60 cm
30756, 31.60 cm
30860, 31.60 cm
30964, 31.60 cm
31068, 31.60 cm
31172, 31.60 cm
31276, 31.60 cm
31380, 31.59 cm
31484, 31.60 cm
31588, 31.60 cm
31692, 31.59 cm
31796, 31.60 cm
31900, 31.60 cm
32004, 31.60 cm
32108, 31.59 cm
32212, 31.60 cm
32316, 31.59 cm
32420, 31.60 cm
32524, 31.60 cm
32628, 31.60 cm
32732, 31.60 cm
32836, 31.59 cm
32940, 31.60 cm
33044, 31.60 cm
33148, 31.60 cm
33252, 31.60 cm
33356, 31.60 cm
33460, 32.13 cm
33564, 32.11 cm
33668, 32.11 cm
33772, 31.60 cm
33876, 32.11 cm
33980, 31.59 cm
34084, 31.60 cm
34188, 31.60 cm
34292, 31.60 cm
34396, 31.60 cm
34500, 31.60 cm
34604, 31.59 cm
34708, 31.59 cm
34812, 31.60 cm
34916, 31.59 cm
35020, 31.60 cm
35124, 31.60 cm
35228, 31.59 cm
35332, 31.60 cm
35436, 31.60 cm
35540, 31.60 cm
35644, 31.59 cm
35748, 31.60 cm
35852, 31.60 cm
35956, 31.59 cm
36060, 31.59 cm
36164, 31.60 cm
36268, 31.59 cm
36372, 31.60 cm
36476, 31.59 cm
36580, 31.60 cm
36684, 31.60 cm
36788, 31.59 cm
36892, 31.60 cm
36996, 31.60 cm
37100, 31.60 cm
37204, 31.60 cm
37308, 31.59 cm
37412, 31.59 cm
37516, 31.59 cm
37620, 31.59 cm
37724, 31.59 cm
37828, 31.60 cm
37932, 31.59 cm
38036, 31.60 cm
38140, 31.60 cm
38244, 31.60 cm
38348, 31.60 cm
38452, 31.59 cm
38556, 31.59 cm
38660, 31.60 cm
38764, 31.59 cm
38868, 31.59 cm
38972, 31.60 cm
39076, 31.59 cm
39180, 31.59 cm
39284, 31.59 cm
39388, 31.59 cm
39492, 31.60 cm
39596, 31.60 cm
39700, 31.60 cm
39804, 31.60 cm
39908, 31.60 cm
40012, 31.59 cm
40116, 31.60 cm
40220, 31.60 cm
40324, 31.59 cm
40428, 31.60 cm
40532, 31.59 cm
40636, 31.60 cm
40740, 31.59 cm
40844, 31.59 cm
40948, 31.60 cm
41052, 31.60 cm
41156, 31.60 cm
41260, 31.59 cm
41364, 31.59 cm
41468, 31.60 cm
41572, 31.60 cm
41676, 31.60 cm
41780, 31.60 cm
41884, 31.59 cm
41988, 31.59 cm
42092, 31.60 cm
42196, 31.60 cm
42300, 31.60 cm
42404, 31.59 cm
42508, 31.59 cm
42612, 31.60 cm
42716, 31.59 cm
42820, 31.60 cm
42924, 31.59 cm
43028, 31.59 cm
43132, 31.60 cm
43236, 31.59 cm
43340, 31.60 cm
43444, 31.60 cm
43548, 31.59 cm
43652, 31.59 cm
43756, 31.59 cm
43860, 31.59 cm
43964, 31.59 cm
44068, 31.59 cm
44172, 31.59 cm
44276, 31.59 cm
44380, 31.59 cm
44484, 31.59 cm
44588, 31.59 cm
44692, 31.60 cm
44796, 31.59 cm
44900, 31.59 cm
45004, 31.59 cm
45108, 31.59 cm
45212, 31.59 cm
45316, 31.59 cm
45420, 31.08 cm
45524, 31.08 cm
45628, 31.08 cm
45732, 31.08 cm
45836, 31.08 cm
45940, 31.59 cm
46044, 31.08 cm
46148, 31.08 cm
46252, 31.08 cm
46356, 31.08 cm
46460, 31.08 cm
46564, 31.08 cm
46668, 31.08 cm
46772, 31.08 cm
46876, 31.08 cm
46980, 31.08 cm
47084, 31.08 cm
47188, 31.08 cm
47292, 31.08 cm
47396, 31.06 cm
47500, 31.08 cm
47604, 31.06 cm
47708, 31.06 cm
47812, 31.08 cm
47916, 31.08 cm
48020, 31.06 cm
48124, 31.08 cm
48228, 31.06 cm
48332, 31.06 cm
48436, 31.06 cm
48540, 31.06 cm
48644, 31.08 cm
48748, 31.08 cm
48852, 31.08 cm
48956, 31.08 cm
49060, 31.08 cm
49164, 31.08 cm
49268, 31.08 cm
49372, 31.08 cm
49476, 31.06 cm
49580, 31.08 cm
49684, 31.08 cm
49788, 31.08 cm
49892, 31.08 cm
49996, 31.08 cm
50100, 31.08 cm
50204, 31.08 cm
50308, 31.08 cm
50412, 31.06 cm
50516, 31.09 cm
50620, 31.08 cm
50724, 31.08 cm
50828, 31.08 cm
