timestamp,distance
1011, 31.57 cm
1115, 30.77 cm
1219, 30.79 cm
1323, 30.79 cm
1427, 30.79 cm
1531, 30.79 cm
1635, 30.77 cm
1739, 30.77 cm
1843, 31.57 cm
1947, 31.57 cm
2052, 31.57 cm
2156, 31.57 cm
2260, 31.57 cm
2364, 31.55 cm
2468, 31.55 cm
2572, 31.57 cm
2676, 31.57 cm
2780, 31.57 cm
2884, 31.57 cm
2988, 31.57 cm
3092, 31.57 cm
3196, 31.55 cm
3300, 31.57 cm
3404, 31.55 cm
3508, 31.57 cm
3612, 31.57 cm
3716, 31.57 cm
3820, 31.57 cm
3924, 31.57 cm
4028, 31.57 cm
4132, 31.57 cm
4236, 31.57 cm
4340, 31.57 cm
4444, 31.57 cm
4548, 31.57 cm
4652, 32.08 cm
4756, 32.08 cm
4860, 32.08 cm
4964, 31.57 cm
5068, 31.57 cm
5172, 31.57 cm
5276, 31.55 cm
5380, 32.08 cm
5484, 31.57 cm
5588, 31.55 cm
5692, 31.55 cm
5796, 31.55 cm
5900, 31.57 cm
6004, 31.57 cm
6108, 31.55 cm
6212, 31.55 cm
6316, 31.57 cm
6420, 31.57 cm
6524, 31.57 cm
6628, 31.57 cm
6732, 32.08 cm
6836, 31.55 cm
6940, 32.08 cm
7044, 31.57 cm
7148, 31.57 cm
7252, 31.57 cm
7356, 32.88 cm
7460, 32.88 cm
7564, 32.86 cm
7668, 32.86 cm
7772, 32.88 cm
7876, 32.86 cm
7980, 32.86 cm
8084, 32.88 cm
8188, 32.88 cm
8292, 32.10 cm
8396, 32.88 cm
8500, 32.08 cm
8604, 32.08 cm
8708, 33.40 cm
8812, 32.88 cm
8916, 33.40 cm
9020, 33.39 cm
9124, 32.10 cm
9228, 32.08 cm
9332, 32.08 cm
9436, 32.08 cm
9540, 32.08 cm
9644, 32.10 cm
9748, 32.10 cm
9852, 32.08 cm
9956, 32.10 cm
10060, 32.08 cm
10164, 32.08 cm
10268, 32.10 cm
10372, 32.10 cm
10476, 32.08 cm
10580, 32.10 cm
10684, 32.10 cm
10788, 32.10 cm
10892, 32.10 cm
10996, 32.10 cm
11100, 32.08 cm
11204, 32.10 cm
11308, 32.10 cm
11412, 32.08 cm
11516, 32.10 cm
11620, 32.10 cm
11724, 32.08 cm
11828, 32.08 cm
11932, 32.08 cm
12036, 32.08 cm
12140, 32.10 cm
12244, 32.08 cm
12348, 32.10 cm
12452, 32.08 cm
12556, 32.10 cm
12660, 32.10 cm
12764, 32.10 cm
12868, 32.08 cm
12972, 32.10 cm
13076, 32.10 cm
13180, 32.08 cm
13284, 32.08 cm
13388, 32.10 cm
13492, 32.08 cm
13596, 32.08 cm
13700, 32.08 cm
13804, 32.10 cm
13908, 32.08 cm
14012, 32.10 cm
14116, 32.10 cm
14220, 32.08 cm
14324, 32.08 cm
14428, 32.08 cm
14532, 32.10 cm
14636, 32.08 cm
14740, 32.08 cm
14844, 32.10 cm
14948, 32.08 cm
15052, 32.08 cm
15156, 32.08 cm
