timestamp,distance
714, 32.90 cm
817, 31.57 cm
921, 31.57 cm
1025, 31.57 cm
1129, 31.57 cm
1233, 31.57 cm
1337, 31.57 cm
1441, 31.57 cm
1545, 31.57 cm
1649, 31.57 cm
1753, 31.57 cm
1857, 31.57 cm
1961, 31.57 cm
2065, 31.57 cm
2169, 31.57 cm
2273, 31.57 cm
2377, 31.57 cm
2481, 31.55 cm
2585, 32.88 cm
2689, 32.88 cm
2793, 32.88 cm
2897, 32.88 cm
3001, 32.88 cm
3105, 32.88 cm
3209, 32.88 cm
3313, 32.88 cm
3417, 32.88 cm
3521, 32.86 cm
3625, 32.88 cm
3729, 32.88 cm
3833, 32.88 cm
3937, 32.88 cm
4041, 32.88 cm
4145, 32.88 cm
4249, 32.86 cm
4353, 31.57 cm
4457, 31.57 cm
4561, 31.57 cm
4665, 31.57 cm
4769, 31.57 cm
4873, 31.57 cm
4977, 31.57 cm
5081, 31.57 cm
5185, 31.57 cm
5289, 31.57 cm
5393, 31.57 cm
5497, 31.57 cm
5601, 31.59 cm
5705, 31.57 cm
5809, 31.57 cm
5913, 31.57 cm
6017, 31.57 cm
6121, 31.57 cm
6225, 31.57 cm
6329, 31.57 cm
6433, 32.10 cm
6537, 32.08 cm
6641, 32.10 cm
6745, 32.10 cm
6849, 31.57 cm
6953, 32.10 cm
7057, 32.08 cm
7161, 32.10 cm
7265, 31.57 cm
7369, 32.10 cm
7473, 32.10 cm
7577, 31.57 cm
7681, 32.10 cm
7785, 31.57 cm
7889, 30.79 cm
7993, 30.79 cm
8097, 30.77 cm
8201, 30.79 cm
8305, 30.77 cm
8409, 30.77 cm
8513, 30.79 cm
8617, 30.77 cm
8721, 30.79 cm
8825, 30.79 cm
8929, 30.79 cm
9033, 30.79 cm
9137, 30.77 cm
9241, 29.48 cm
9345, 29.48 cm
9449, 29.48 cm
9553, 29.48 cm
9657, 29.48 cm
9761, 29.48 cm
9865, 29.48 cm
9969, 29.48 cm
10073, 29.48 cm
10177, 29.48 cm
10281, 29.48 cm
10385, 29.48 cm
10489, 29.48 cm
10593, 29.48 cm
10697, 30.26 cm
10801, 30.24 cm
10905, 30.26 cm
11009, 30.24 cm
11113, 30.26 cm
11217, 30.26 cm
11321, 30.24 cm
11425, 30.26 cm
11529, 30.26 cm
11633, 30.26 cm
11737, 30.26 cm
11841, 30.26 cm
11945, 30.26 cm
12049, 30.26 cm
12153, 30.26 cm
12257, 30.26 cm
12361, 30.26 cm
12465, 29.73 cm
12569, 29.73 cm
12673, 29.73 cm
12777, 29.73 cm
12881, 29.73 cm
12985, 29.73 cm
13089, 28.92 cm
13193, 29.73 cm
13297, 29.73 cm
13401, 29.73 cm
13505, 29.73 cm
13609, 29.73 cm
13713, 29.73 cm
13817, 29.73 cm
13921, 29.73 cm
14025, 29.73 cm
14129, 29.73 cm
14233, 29.73 cm
14337, 29.21 cm
14441, 29.21 cm
14545, 29.22 cm
14649, 29.21 cm
14753, 29.21 cm
14857, 29.22 cm
14961, 29.21 cm
15065, 29.22 cm
15169, 29.21 cm
15273, 29.22 cm
15377, 29.22 cm
15481, 29.21 cm
15585, 29.21 cm
15689, 29.22 cm
15793, 29.22 cm
15897, 29.22 cm
