timestamp,distance
414, 31.04 cm
518, 31.04 cm
622, 31.04 cm
726, 31.04 cm
830, 31.04 cm
934, 31.04 cm
1038, 31.04 cm
1142, 31.04 cm
1246, 31.04 cm
1350, 31.04 cm
1454, 30.53 cm
1558, 31.82 cm
1662, 30.51 cm
1766, 31.06 cm
1870, 30.51 cm
1974, 31.82 cm
2078, 31.04 cm
2182, 31.06 cm
2286, 31.04 cm
2390, 31.84 cm
2494, 31.04 cm
2598, 31.04 cm
2702, 30.53 cm
2806, 30.53 cm
2910, 30.51 cm
3014, 30.53 cm
3118, 30.53 cm
3222, 30.51 cm
3326, 30.53 cm
3430, 30.51 cm
3534, 30.51 cm
3638, 30.51 cm
3742, 30.51 cm
3846, 30.53 cm
3950, 30.53 cm
4054, 30.53 cm
4158, 31.04 cm
4262, 30.53 cm
4366, 31.04 cm
4470, 30.53 cm
4574, 30.53 cm
4678, 30.53 cm
4782, 30.53 cm
4886, 30.53 cm
4990, 30.51 cm
5094, 30.53 cm
5198, 30.51 cm
5302, 30.51 cm
5406, 30.50 cm
5510, 30.51 cm
5614, 30.51 cm
5718, 30.51 cm
5822, 30.51 cm
5926, 30.51 cm
6030, 30.51 cm
6134, 30.51 cm
6238, 30.53 cm
6342, 30.53 cm
6446, 30.51 cm
6550, 30.53 cm
6654, 30.51 cm
6758, 31.04 cm
6862, 30.53 cm
6966, 30.51 cm
7070, 31.04 cm
7174, 30.51 cm
7278, 31.02 cm
7382, 31.02 cm
7486, 31.02 cm
7590, 31.04 cm
7694, 30.51 cm
7798, 30.53 cm
7902, 30.51 cm
8006, 30.51 cm
8110, 30.53 cm
8214, 30.53 cm
8318, 30.53 cm
8422, 30.51 cm
8526, 30.51 cm
8630, 30.53 cm
8734, 30.53 cm
8838, 30.53 cm
8942, 31.04 cm
9046, 31.04 cm
9150, 31.04 cm
9254, 31.04 cm
9358, 31.04 cm
9462, 31.04 cm
9566, 31.04 cm
9670, 31.06 cm
9774, 31.04 cm
9878, 31.06 cm
9982, 31.04 cm
10086, 31.06 cm
10190, 31.04 cm
10294, 31.04 cm
10398, 31.04 cm
10502, 31.04 cm
10606, 31.04 cm
10710, 31.04 cm
10814, 31.04 cm
10918, 31.04 cm
11022, 31.04 cm
11126, 31.04 cm
11230, 31.06 cm
11334, 31.06 cm
11438, 31.04 cm
11542, 31.06 cm
11646, 31.04 cm
11750, 31.06 cm
11854, 31.06 cm
11958, 31.04 cm
12062, 31.06 cm
12166, 31.06 cm
12270, 31.04 cm
12374, 31.06 cm
12478, 31.04 cm
12582, 31.06 cm
12686, 31.04 cm
12790, 31.06 cm
