timestamp,distance
1013, 31.64 cm
1117, 31.64 cm
1221, 31.11 cm
1325, 31.11 cm
1429, 31.64 cm
1533, 31.62 cm
1637, 31.11 cm
1741, 31.64 cm
1845, 31.11 cm
1949, 31.11 cm
2053, 31.11 cm
2157, 31.11 cm
2261, 31.11 cm
2365, 31.09 cm
2469, 31.11 cm
2573, 31.11 cm
2677, 31.11 cm
2781, 31.11 cm
2885, 32.42 cm
2989, 31.09 cm
3093, 31.11 cm
3197, 31.11 cm
3301, 31.11 cm
3405, 31.09 cm
3509, 31.11 cm
3613, 31.11 cm
3717, 31.11 cm
3821, 31.11 cm
3925, 31.62 cm
4029, 31.11 cm
4133, 31.09 cm
4237, 31.62 cm
4341, 31.09 cm
4445, 31.11 cm
4549, 31.09 cm
4653, 31.11 cm
4757, 31.11 cm
4861, 31.11 cm
4965, 31.11 cm
5069, 31.09 cm
5173, 31.09 cm
5277, 31.11 cm
5381, 31.11 cm
5485, 31.11 cm
5589, 31.11 cm
5693, 31.11 cm
5797, 31.11 cm
5901, 31.11 cm
6005, 31.11 cm
6109, 31.11 cm
6213, 31.11 cm
6317, 31.11 cm
6421, 31.11 cm
6525, 31.11 cm
6629, 31.09 cm
6733, 31.11 cm
6837, 31.11 cm
6941, 31.11 cm
7045, 31.11 cm
7149, 31.11 cm
7253, 31.11 cm
7357, 31.64 cm
7461, 31.62 cm
7565, 31.62 cm
7669, 31.64 cm
7773, 31.62 cm
7877, 31.62 cm
7981, 32.15 cm
8085, 32.15 cm
8189, 32.16 cm
8293, 32.16 cm
8397, 32.16 cm
8501, 31.64 cm
8605, 31.64 cm
8709, 31.64 cm
8813, 31.64 cm
8917, 31.62 cm
9021, 31.64 cm
9125, 31.64 cm
9229, 31.62 cm
9333, 31.64 cm
9437, 31.62 cm
9541, 31.62 cm
9645, 31.64 cm
9749, 31.62 cm
9853, 31.64 cm
9957, 31.64 cm
10061, 31.64 cm
10165, 31.64 cm
10269, 32.15 cm
10373, 32.15 cm
10477, 32.16 cm
10581, 32.15 cm
10685, 32.15 cm
10789, 32.15 cm
10893, 32.15 cm
10997, 32.16 cm
11101, 32.15 cm
11205, 32.15 cm
11309, 32.15 cm
11413, 32.15 cm
11517, 32.15 cm
11621, 32.15 cm
11725, 31.35 cm
11829, 32.15 cm
11933, 32.15 cm
12037, 32.15 cm
12141, 31.35 cm
12245, 32.15 cm
12349, 32.15 cm
12453, 31.36 cm
12557, 31.36 cm
12661, 31.36 cm
12765, 31.36 cm
12869, 31.36 cm
12973, 31.35 cm
13077, 31.36 cm
13181, 31.36 cm
13285, 31.36 cm
13389, 31.36 cm
13493, 31.36 cm
13597, 31.36 cm
13701, 31.36 cm
13805, 31.36 cm
13909, 31.36 cm
14013, 31.36 cm
14117, 31.36 cm
14221, 31.36 cm
14325, 31.36 cm
14429, 32.67 cm
14533, 32.67 cm
14637, 32.67 cm
14741, 32.69 cm
14845, 32.69 cm
14949, 32.67 cm
15053, 32.67 cm
15157, 32.69 cm
15261, 32.69 cm
15365, 32.67 cm
15469, 32.69 cm
15573, 31.87 cm
15677, 31.87 cm
15781, 31.87 cm
15885, 31.87 cm
15989, 31.89 cm
16093, 31.87 cm
16197, 31.87 cm
16301, 31.87 cm
16405, 31.87 cm
16509, 31.89 cm
16613, 31.87 cm
16717, 31.87 cm
16821, 31.87 cm
16925, 31.87 cm
17029, 31.89 cm
17133, 31.89 cm
17237, 31.89 cm
17341, 31.87 cm
17445, 31.89 cm
17549, 31.87 cm
17653, 31.89 cm
17757, 31.89 cm
17861, 31.87 cm
17965, 31.89 cm
18069, 31.87 cm
18173, 31.89 cm
18277, 31.89 cm
18381, 31.87 cm
18485, 31.89 cm
18589, 31.89 cm
18693, 31.89 cm
18797, 31.89 cm
18901, 31.89 cm
19005, 31.87 cm
19109, 31.87 cm
19213, 31.87 cm
19317, 31.89 cm
19421, 31.89 cm
19525, 31.89 cm
19629, 31.89 cm
19733, 31.87 cm
19837, 31.89 cm
19941, 31.87 cm
20045, 31.89 cm
20149, 31.87 cm
20253, 31.89 cm
20357, 31.89 cm
20461, 31.89 cm
20565, 31.89 cm
20669, 31.89 cm
20773, 31.89 cm
20877, 31.87 cm
20981, 32.40 cm
21085, 32.40 cm
21189, 31.89 cm
21293, 31.89 cm
21397, 32.42 cm
21501, 32.42 cm
21605, 31.89 cm
21709, 31.89 cm
21813, 31.89 cm
21917, 32.40 cm
22021, 32.40 cm
22125, 31.89 cm
22229, 32.42 cm
22333, 32.40 cm
22437, 32.40 cm
22541, 31.89 cm
22645, 31.89 cm
22749, 31.87 cm
22853, 31.89 cm
22957, 32.40 cm
23061, 32.40 cm
23165, 33.20 cm
23269, 32.40 cm
23373, 32.40 cm
23477, 32.40 cm
23581, 32.42 cm
23685, 32.40 cm
23789, 32.40 cm
23893, 33.20 cm
23997, 33.20 cm
24101, 31.89 cm
24205, 33.18 cm
24309, 31.89 cm
24413, 33.20 cm
24517, 33.20 cm
24621, 33.20 cm
24725, 33.20 cm
24829, 33.20 cm
24933, 31.89 cm
25037, 31.89 cm
25141, 31.89 cm
25245, 33.20 cm
25349, 31.89 cm
25453, 31.89 cm
25557, 31.89 cm
25661, 31.89 cm
25765, 31.89 cm
25869, 33.20 cm
25973, 33.20 cm
26077, 31.89 cm
26181, 31.87 cm
26285, 31.89 cm
26389, 31.89 cm
26493, 31.87 cm
26597, 31.87 cm
26701, 31.87 cm
26805, 31.89 cm
26909, 31.89 cm
27013, 31.89 cm
27117, 31.89 cm
27221, 31.89 cm
27325, 31.89 cm
27429, 31.89 cm
27533, 31.89 cm
27637, 31.89 cm
27741, 31.89 cm
27845, 31.89 cm
27949, 31.87 cm
28053, 31.87 cm
28157, 31.89 cm
28261, 32.67 cm
28365, 31.87 cm
28469, 31.87 cm
28573, 31.89 cm
28677, 31.89 cm
28781, 31.87 cm
28885, 31.87 cm
28989, 31.87 cm
29093, 31.89 cm
29197, 31.87 cm
29301, 31.89 cm
29405, 31.89 cm
29509, 31.87 cm
29613, 31.87 cm
29717, 31.87 cm
29821, 31.89 cm
29925, 31.89 cm
30029, 31.89 cm
30133, 31.89 cm
30237, 31.89 cm
30341, 31.89 cm
30445, 31.89 cm
30549, 31.89 cm
30653, 31.87 cm
30757, 31.87 cm
30861, 31.89 cm
30965, 31.89 cm
31069, 31.89 cm
31173, 31.89 cm
31277, 31.89 cm
31381, 31.89 cm
31485, 31.87 cm
31589, 31.89 cm
31693, 31.87 cm
31797, 31.89 cm
31901, 31.89 cm
32005, 31.89 cm
32109, 31.89 cm
32213, 31.87 cm
32317, 31.89 cm
32421, 31.89 cm
32525, 31.87 cm
32629, 31.87 cm
32733, 31.89 cm
32837, 31.87 cm
32941, 31.89 cm
33045, 31.87 cm
33149, 31.87 cm
33253, 31.87 cm
33357, 31.89 cm
33461, 31.89 cm
33565, 31.89 cm
33669, 31.87 cm
33773, 31.89 cm
33877, 31.89 cm
