timestamp,distance,filtered_distance,spikes,distance_scale
6115,,,,0.0
6219,,,,0.00046343177916584506
6323,,,,0.0009268635583316901
6427,,,,0.0013902953374975353
6531,,,,0.0018537271166633802
6635,,,,0.002317158895829225
6739,,,,0.0027805906749950706
6843,,,,0.0032440224541609155
6947,,,,0.0037074542333267605
7051,,,,0.004170886012492605
7155,,,,0.00463431779165845
7259,,,,0.005097749570824296
7363,,,,0.005561181349990141
7467,,,,0.006024613129155986
7571,,,,0.006488044908321831
7675,,,,0.006951476687487676
7779,,,,0.007414908466653521
7883,,,,0.007878340245819366
7987,,,,0.00834177202498521
8091,,,,0.008805203804151056
8195,,,,0.0092686355833169
8299,,,,0.009732067362482747
8403,,,,0.010195499141648592
8507,,,,0.010658930920814437
8611,,,,0.011122362699980282
8715,,-1.206400000000001,0.0035999999999998256,0.011585794479146127
8819,,-1.206800000000001,0.016799999999999704,0.012049226258311972
8923,,-1.206800000000001,0.0031999999999998696,0.012512658037477817
9027,,-1.206800000000001,0.0031999999999998696,0.012976089816643662
9131,,-1.207200000000001,0.0027999999999999137,0.013439521595809507
9235,,-1.2076000000000011,0.0023999999999997357,0.013902953374975352
9339,,-1.2076000000000007,0.0024000000000001798,0.014366385154141197
9443,,-1.2076000000000011,0.0023999999999997357,0.014829816933307042
9547,,-1.208000000000001,0.0019999999999997797,0.015293248712472887
9651,,-1.208000000000001,0.0019999999999997797,0.015756680491638732
9755,,-1.2084000000000008,0.0016000000000000458,0.01622011227080458
9859,,-1.2084000000000008,0.0016000000000000458,0.01668354404997042
9963,,-1.2084000000000008,0.0016000000000000458,0.01714697582913627
10067,,-1.2088000000000008,0.0012000000000000899,0.01761040760830211
10171,,-1.2088000000000008,0.018799999999999484,0.01807383938746796
10275,,-1.2088000000000008,0.0012000000000000899,0.0185372711666338
10379,,-1.2088000000000008,0.0012000000000000899,0.019000702945799648
10483,,-1.2088000000000008,0.0012000000000000899,0.019464134724965495
10588,,-1.2088000000000008,0.0012000000000000899,0.01993202257893101
10692,,-1.2088000000000008,0.0012000000000000899,0.020395454358096855
10796,,-1.2088000000000008,0.0012000000000000899,0.0208588861372627
10900,,-1.2088000000000008,0.018799999999999484,0.021322317916428545
11004,,-1.2088000000000008,0.0012000000000000899,0.02178574969559439
11108,,-1.2088000000000008,0.0012000000000000899,0.022249181474760234
11212,,-1.2088000000000008,0.0012000000000000899,0.02271261325392608
11316,-1.208000000000001,-1.2084000000000008,0.0016000000000000458,0.023176045033091924
11420,-1.208000000000001,-1.2088000000000008,0.0012000000000000899,0.02363947681225777
11524,-1.2080000000000009,-1.209200000000001,0.0007999999999999119,0.024102908591423614
11628,-1.208000000000001,-1.2092000000000007,0.0008000000000001339,0.02456634037058946
11732,-1.2082000000000008,-1.209200000000001,0.0007999999999999119,0.025029772149755304
11836,-1.2084000000000008,-1.2092000000000007,0.0008000000000001339,0.02549320392892115
11940,-1.2084000000000008,-1.209200000000001,0.0007999999999999119,0.025956635708086997
12044,-1.2084000000000008,-1.2092000000000007,0.0008000000000001339,0.02642006748725284
12148,-1.2086000000000008,-1.209200000000001,0.0007999999999999119,0.026883499266418687
12252,-1.208600000000001,-1.2092000000000007,0.0008000000000001339,0.02734693104558453
12356,-1.2088000000000008,-1.209200000000001,0.0007999999999999119,0.027810362824750377
12460,-1.208800000000001,-1.2092000000000007,0.0008000000000001339,0.02827379460391622
12564,-1.2086000000000008,-1.209200000000001,0.0007999999999999119,0.028737226383082067
12668,-1.2086000000000008,-1.2092000000000007,0.0008000000000001339,0.02920065816224791
12772,-1.208600000000001,-1.209200000000001,0.0007999999999999119,0.029664089941413757
12876,-1.2086000000000008,-1.209600000000001,0.00039999999999995595,0.0301275217205796
12980,-1.208600000000001,-1.209600000000001,0.00039999999999995595,0.030590953499745447
13084,-1.2086000000000008,-1.209600000000001,0.00039999999999995595,0.03105438527891129
13188,-1.208600000000001,-1.209600000000001,0.00039999999999995595,0.03151781705807714
13292,-1.2086000000000008,-1.209600000000001,0.00039999999999995595,0.03198124883724298
13396,-1.208600000000001,-1.209600000000001,0.00039999999999995595,0.03244468061640883
13500,-1.2086000000000008,-1.209200000000001,0.0007999999999999119,0.032908112395574673
13604,-1.208600000000001,-1.209600000000001,0.00039999999999995595,0.03337154417474052
13708,-1.2086000000000008,-1.209600000000001,0.00039999999999995595,0.03383497595390636
13812,-1.208600000000001,-1.209600000000001,0.019599999999999618,0.03429840773307221
13916,-1.2086000000000008,-1.209600000000001,0.02039999999999953,0.03476183951223805
14020,-1.2084000000000008,-1.2092000000000007,0.0008000000000001339,0.035225271291403897
14124,-1.2086000000000008,-1.209200000000001,0.0007999999999999119,0.03568870307056974
14228,-1.2084000000000008,-1.2092000000000007,0.0008000000000001339,0.03615213484973559
14332,-1.2084000000000008,-1.209200000000001,0.0007999999999999119,0.03661556662890143
14436,-1.2084000000000008,-1.2092000000000007,0.0008000000000001339,0.037078998408067276
14540,-1.2084000000000008,-1.209200000000001,0.0007999999999999119,0.03754243018723312
14644,-1.2084000000000008,-1.2092000000000007,0.0008000000000001339,0.03800586196639897
14748,-1.2084000000000008,-1.209200000000001,0.0007999999999999119,0.03846929374556481
14852,-1.2084000000000008,-1.2092000000000007,0.0008000000000001339,0.038932725524730656
14956,-1.2086000000000008,-1.209200000000001,0.0007999999999999119,0.039396157303896506
15060,-1.208600000000001,-1.2092000000000007,0.0008000000000001339,0.03985958908306235
15164,-1.2086000000000008,-1.208800000000001,0.0011999999999998678,0.04032302086222819
