timestamp,distance
712, 32.45 cm
815, 32.45 cm
919, 32.45 cm
1023, 32.45 cm
1127, 32.47 cm
1231, 32.45 cm
1335, 32.45 cm
1439, 32.45 cm
1543, 32.47 cm
1647, 32.47 cm
1751, 32.45 cm
1855, 32.45 cm
1959, 32.45 cm
2063, 32.44 cm
2167, 32.45 cm
2271, 32.45 cm
2375, 32.47 cm
2479, 32.47 cm
2583, 32.44 cm
2687, 32.45 cm
2791, 32.47 cm
2895, 32.44 cm
2999, 32.45 cm
3103, 32.45 cm
3207, 32.45 cm
3311, 32.47 cm
3415, 32.45 cm
3519, 32.47 cm
3623, 32.45 cm
3727, 32.45 cm
3831, 32.45 cm
3935, 32.45 cm
4039, 32.45 cm
4143, 32.45 cm
4247, 32.45 cm
4351, 32.45 cm
4455, 32.45 cm
4559, 32.45 cm
4663, 32.45 cm
4767, 32.44 cm
4871, 32.45 cm
4975, 32.45 cm
5079, 32.45 cm
5183, 32.45 cm
5287, 32.45 cm
5391, 32.45 cm
5495, 32.45 cm
5599, 32.45 cm
5703, 32.45 cm
5807, 32.45 cm
5911, 32.45 cm
6015, 32.45 cm
6119, 32.45 cm
6223, 32.45 cm
6327, 32.45 cm
6431, 32.45 cm
6535, 32.45 cm
6639, 32.45 cm
6743, 32.45 cm
6847, 32.47 cm
6951, 32.44 cm
7055, 32.45 cm
7159, 32.45 cm
7263, 32.45 cm
7367, 32.47 cm
7471, 32.45 cm
7575, 32.45 cm
7679, 32.45 cm
7783, 32.45 cm
7887, 32.45 cm
7991, 32.45 cm
8095, 32.45 cm
8199, 32.45 cm
8303, 32.45 cm
8407, 32.47 cm
8511, 32.45 cm
8615, 32.47 cm
8719, 32.45 cm
8823, 32.45 cm
8927, 32.45 cm
9031, 32.45 cm
9135, 32.45 cm
9239, 32.47 cm
9343, 32.45 cm
9447, 32.45 cm
9551, 32.45 cm
9655, 32.47 cm
9759, 32.45 cm
9863, 32.45 cm
9967, 32.45 cm
10071, 32.45 cm
10175, 32.45 cm
10279, 32.45 cm
10383, 32.45 cm
10487, 32.45 cm
10591, 32.45 cm
10695, 32.45 cm
10799, 32.45 cm
10903, 32.45 cm
11007, 32.45 cm
11111, 32.45 cm
